iter	Passed	Remaining
402	14641	3524
403	14683	3489
404	14723	3453
405	14763	3418
406	14799	3381
407	14837	3345
408	14877	3310
409	14915	3274
410	14953	3238
411	14987	3201
412	15024	3165
413	15057	3127
414	15112	3095
415	15160	3061
416	15196	3024
417	15232	2988
418	15264	2950
419	15298	2914
420	15335	2877
421	15370	2841
422	15411	2805
423	15442	2768
424	15477	2731
425	15514	2695
426	15552	2658
427	15588	2622
428	15620	2585
429	15655	2548
430	15697	2513
431	15738	2477
432	15781	2441
433	15822	2406
434	15858	2369
435	15897	2333
436	15936	2297
437	15971	2260
438	16017	2225
439	16063	2190
440	16104	2154
441	16145	2118
442	16184	2082
443	16223	2046
444	16257	2009
445	16292	1972
446	16329	1936
447	16374	1900
448	16419	1864
449	16456	1828
450	16492	1791
451	16526	1755
452	16569	1719
453	16607	1682
454	16645	1646
455	16691	1610
456	16746	1575
457	16784	1539
458	16821	1502
459	16860	1466
460	16899	1429
461	16938	1393
462	16974	1356
463	17018	1320
464	17060	1284
465	17097	1247
466	17135	1210
467	17189	1175
468	17228	1138
469	17275	1102
470	17314	1066
471	17351	1029
472	17387	992
473	17427	955
474	17471	919
475	17517	883
476	17562	846
477	17597	809
478	17631	772
479	17669	736
480	17710	699
481	17745	662
482	17791	626
483	17838	589
484	17881	553
485	17919	516
486	17953	479
487	17990	442
488	18025	405
489	18061	368
490	18101	331
491	18148	295
492	18191	258
493	18229	221
494	18267	184
495	18308	147
496	18346	110
497	18390	73
498	18454	36
499	18494	0
