iter	RMSE
152	28220.67689
153	28220.58651
154	28220.21438
155	28219.75661
156	28219.46341
157	28219.34261
158	28219.13494
159	28219.09381
160	28218.11233
161	28217.94943
162	28217.93017
163	28217.39677
164	28216.63692
165	28216.61873
166	28215.70584
167	28215.63392
168	28214.85898
169	28214.79278
170	28214.38326
171	28214.32306
172	28214.04602
173	28213.99004
174	28213.98184
175	28213.96556
176	28213.13497
177	28212.5023
178	28212.28643
179	28212.24055
180	28212.02631
181	28211.80349
182	28211.38161
183	28211.12834
184	28210.65476
185	28210.29166
186	28209.86074
187	28209.47578
188	28209.31579
189	28209.07223
190	28208.87975
191	28208.27824
192	28207.92614
193	28207.40497
194	28205.89601
195	28204.98159
196	28204.7832
197	28204.22068
198	28203.90059
199	28203.55465
200	28202.82136
201	28201.522
202	28201.50017
203	28201.13702
204	28199.42326
205	28199.06563
206	28198.90168
207	28198.83521
208	28198.6903
209	28198.54163
210	28198.31499
211	28198.29813
212	28197.71044
213	28197.14803
214	28196.17933
215	28196.06541
216	28195.29078
217	28195.02454
218	28194.90894
219	28194.61738
220	28194.4825
221	28193.07751
222	28192.92579
223	28192.73391
224	28192.67655
225	28192.33893
226	28191.43121
227	28191.14665
228	28190.7596
229	28190.71244
230	28190.44322
231	28190.04879
232	28189.96311
233	28189.63333
234	28189.37733
235	28188.18487
236	28187.22694
237	28187.10423
238	28187.00852
239	28186.70175
240	28186.56866
241	28186.43145
242	28185.90715
243	28185.24985
244	28184.21516
245	28182.50029
246	28181.86299
247	28181.73111
248	28181.56254
249	28181.1667
250	28181.01137
251	28180.86424
252	28180.37847
253	28179.97517
254	28179.83046
255	28179.41156
256	28178.78738
257	28178.15376
258	28178.02539
259	28177.97395
260	28177.96244
261	28177.77494
262	28175.98826
263	28174.9369
264	28174.6104
265	28173.85816
266	28173.68245
267	28173.40234
268	28172.59353
269	28171.67655
270	28171.53708
271	28171.30618
272	28170.57735
273	28170.36101
274	28169.10074
275	28169.00959
276	28168.82076
277	28168.37703
278	28168.16738
279	28167.77632
280	28167.21229
281	28167.06612
282	28166.98917
283	28166.36702
284	28166.17262
285	28166.02441
286	28165.92841
287	28165.21412
288	28165.1733
289	28164.81388
290	28163.42052
291	28163.28466
292	28163.10871
293	28162.67453
294	28162.33087
295	28161.90395
296	28161.83587
297	28161.20557
298	28161.12924
299	28160.81182
300	28160.47602
301	28160.41323
302	28160.31105
303	28160.27201
304	28158.64452
305	28158.54851
306	28156.98586
307	28156.933
308	28156.88592
309	28156.84243
310	28156.77673
311	28156.73763
312	28156.25595
313	28156.19774
314	28155.70354
315	28155.5344
316	28155.37187
317	28154.32638
318	28152.33196
319	28152.23373
320	28151.94861
321	28151.1858
322	28150.76921
323	28150.07595
324	28149.74445
325	28149.72683
326	28149.43582
327	28149.29883
328	28147.54998
329	28147.36579
330	28146.92673
331	28146.40714
332	28145.70992
333	28145.57698
334	28145.07968
335	28144.86279
336	28144.29908
337	28144.17598
338	28144.14842
339	28143.39962
340	28143.04665
341	28142.67085
342	28142.52389
343	28142.37918
344	28141.42893
345	28140.76066
346	28139.90475
347	28139.49743
348	28139.36161
349	28139.26815
350	28138.78298
351	28137.57099
352	28137.15524
353	28136.92228
354	28136.42015
355	28136.09951
356	28135.62099
357	28135.13819
358	28134.3838
359	28134.2952
360	28134.2588
361	28134.15719
362	28133.99123
363	28133.52857
364	28133.27992
365	28132.71261
366	28132.38352
367	28131.72411
368	28131.40447
369	28130.08796
370	28129.77412
371	28129.06459
372	28128.1059
373	28127.80222
374	28127.67322
375	28127.39424
376	28127.27825
377	28127.15274
378	28126.93524
379	28126.88737
380	28126.80329
381	28126.77485
382	28125.41892
383	28125.20635
384	28125.00881
385	28124.92933
386	28123.91438
387	28123.79514
388	28122.8115
389	28122.60853
390	28122.44285
391	28120.92337
392	28120.79163
393	28120.13819
394	28119.48445
395	28119.30859
396	28119.23513
397	28118.79336
398	28118.76472
399	28118.08349
400	28117.07082
401	28116.74703
402	28116.23798
403	28116.05289
404	28115.98749
405	28115.90465
406	28115.89714
407	28115.28902
408	28115.23154
409	28114.87034
410	28114.7483
411	28114.42179
412	28114.33891
413	28113.74944
414	28113.67795
415	28113.29246
416	28112.9812
417	28112.47197
418	28111.71486
419	28111.67921
420	28110.8723
421	28110.80191
422	28110.7814
423	28110.32865
424	28110.03737
425	28109.73653
426	28109.70053
427	28109.37092
428	28108.63932
429	28108.50156
430	28108.37094
431	28108.32483
432	28107.61063
433	28106.71979
434	28106.69335
435	28106.14895
436	28105.65827
437	28105.19867
438	28105.03586
439	28104.78507
440	28104.61204
441	28104.57729
442	28104.00101
443	28103.51607
444	28103.14571
445	28103.13689
446	28102.00359
447	28101.95453
448	28100.2726
449	28100.23753
450	28100.21407
451	28100.09906
452	28099.60475
453	28098.33236
454	28098.20725
455	28098.1764
456	28097.79523
457	28097.79203
458	28097.22472
459	28096.97216
460	28095.51095
461	28095.28143
462	28095.09786
463	28095.00667
464	28094.63361
465	28093.9597
466	28093.66872
467	28093.45458
468	28093.28575
469	28093.00499
470	28092.62991
471	28092.60795
472	28091.4195
473	28090.71936
474	28090.4308
475	28090.2414
476	28090.17967
477	28090.05238
478	28090.01142
479	28089.81924
480	28089.58014
481	28089.54182
482	28089.50179
483	28089.46734
484	28089.19956
485	28088.52415
486	28088.50099
487	28088.24273
488	28088.08417
489	28087.34885
490	28087.1953
491	28087.02604
492	28086.85148
493	28085.59594
494	28085.53484
495	28085.32071
496	28085.16135
497	28084.66018
498	28084.59649
499	28084.41992
500	28083.75015
501	28083.58926
502	28083.30664
503	28082.7772
504	28082.35973
505	28082.26262
506	28082.22917
507	28081.57247
508	28081.34184
509	28080.81617
510	28080.5281
511	28079.79675
512	28079.7587
513	28078.71252
514	28078.55954
515	28077.49426
516	28077.42827
517	28077.28346
518	28077.03965
519	28076.84179
520	28076.59057
521	28076.57431
522	28076.41669
523	28076.23864
524	28076.09389
525	28075.8453
526	28075.63964
527	28075.42203
528	28075.16563
529	28074.94723
530	28074.81057
531	28074.78074
532	28074.24307
533	28074.20923
534	28073.52415
535	28073.3326
536	28072.85165
537	28072.6428
538	28072.60162
539	28072.38635
540	28072.15644
541	28072.12109
542	28070.38983
543	28069.95036
544	28069.82457
545	28069.5502
546	28069.44486
547	28069.01633
548	28068.62025
549	28068.51623
550	28067.94115
551	28066.76815
552	28066.42235
553	28066.36296
554	28066.10243
555	28066.05953
556	28065.97072
557	28065.45491
558	28065.36297
559	28064.93705
560	28064.40002
561	28064.28669
562	28064.23747
563	28064.06672
564	28063.385
565	28062.91989
566	28062.89331
567	28062.49772
568	28062.47873
569	28061.8182
570	28060.85209
571	28060.61131
572	28059.3536
573	28059.26731
574	28058.88987
575	28058.46936
576	28058.42148
577	28058.38615
578	28057.99741
579	28057.78813
580	28056.36733
581	28055.85091
582	28055.51292
583	28055.3319
584	28055.18406
585	28055.13829
586	28055.11677
587	28055.03885
588	28054.81637
589	28054.24852
590	28054.10163
591	28054.05138
592	28053.69201
593	28053.35767
594	28052.8106
595	28052.57313
596	28052.17906
597	28052.13576
598	28051.82046
599	28051.50401
600	28051.28125
601	28051.27356
602	28050.71623
603	28050.69601
604	28050.4329
605	28050.27041
606	28050.19683
607	28050.16298
608	28050.14646
609	28050.10425
610	28049.40433
611	28049.20869
612	28048.5431
613	28047.8797
614	28047.72749
615	28047.71122
616	28047.51653
617	28047.51407
618	28046.80872
619	28046.6992
620	28046.25016
621	28046.14642
622	28045.29077
623	28045.12635
624	28045.08379
625	28043.83818
626	28043.71156
627	28043.70166
628	28043.42698
629	28043.02522
630	28042.94851
631	28042.81694
632	28041.95184
633	28041.55666
634	28041.44257
635	28041.34412
636	28040.7692
637	28040.70578
638	28040.00746
639	28039.93723
640	28039.77234
641	28039.67683
642	28038.98315
643	28038.88148
644	28038.74452
645	28038.24802
646	28038.19151
647	28038.14396
648	28038.11495
649	28036.45255
650	28036.40726
651	28035.97632
652	28035.32358
653	28035.18399
654	28035.07375
655	28035.05049
656	28035.03628
657	28033.23623
658	28033.09455
659	28032.97063
660	28032.75195
661	28032.67137
662	28032.2878
663	28032.0463
664	28031.99487
665	28031.23021
666	28030.11549
667	28030.00475
668	28029.47539
669	28029.00636
670	28028.92797
671	28028.14483
672	28027.71981
673	28026.92234
674	28026.77508
675	28026.72134
676	28026.69693
677	28026.41683
678	28025.59948
679	28025.47297
680	28024.7024
681	28024.59559
682	28024.51918
683	28024.46616
684	28024.44961
685	28024.4388
686	28023.65214
687	28023.26603
688	28022.87113
689	28022.21001
690	28021.96644
691	28021.88267
692	28021.78708
693	28021.74213
694	28021.45964
695	28021.43818
696	28021.03565
697	28020.94017
698	28020.93964
699	28020.30596
700	28020.21858
701	28020.21712
702	28020.00423
703	28019.56944
704	28019.43905
705	28018.46555
706	28018.33318
707	28017.99661
708	28017.79384
709	28017.77559
710	28017.63624
711	28017.6306
712	28017.56201
713	28017.41866
714	28017.38081
715	28017.33946
716	28017.28464
717	28017.20032
718	28017.08435
719	28016.65442
720	28016.65424
721	28016.40469
722	28016.14334
723	28016.04905
724	28015.86478
725	28015.77257
726	28015.72577
727	28015.63141
728	28015.61804
729	28015.58971
730	28015.32019
731	28014.12841
732	28014.03313
733	28013.20175
734	28012.33487
735	28012.31606
736	28011.09642
737	28010.67572
738	28010.57095
739	28010.26375
740	28010.19961
741	28010.19633
742	28010.18682
743	28010.15203
744	28009.55513
745	28009.44996
746	28009.28741
747	28008.93003
748	28008.85457
749	28008.84258
750	28008.69505
751	28008.22396
752	28008.09065
753	28007.79278
754	28007.60489
755	28007.58958
756	28006.66804
757	28006.47649
758	28005.91732
759	28005.89318
760	28005.63089
761	28005.09631
762	28004.64786
763	28004.60807
764	28004.48368
765	28004.3634
766	28004.28945
767	28004.22363
768	28004.1579
769	28003.71065
770	28003.31074
771	28002.43335
772	28002.42947
773	28002.38773
774	28001.81209
775	28000.9052
776	28000.85833
777	27999.4242
778	27999.40351
779	27998.62185
780	27997.84833
781	27996.79404
782	27996.46758
783	27996.30744
784	27996.29725
785	27995.89711
786	27995.70978
787	27994.17675
788	27993.49854
789	27993.43992
790	27992.21268
791	27991.69516
792	27991.65478
793	27990.73086
794	27990.6991
795	27990.58587
796	27989.9459
797	27989.65507
798	27989.62269
799	27989.45812
800	27989.12196
801	27989.03965
802	27988.97121
803	27988.56506
804	27988.52923
805	27988.05762
806	27988.0485
807	27987.87601
808	27987.67812
809	27987.29209
810	27987.1999
811	27987.1826
812	27987.10537
813	27986.61606
814	27986.56957
815	27986.49143
816	27986.33505
817	27986.26882
818	27985.17959
819	27985.17865
820	27985.13169
821	27985.09469
822	27984.57621
823	27983.39218
824	27983.06031
825	27982.60042
826	27982.25149
827	27982.21937
828	27980.8698
829	27980.50359
830	27980.42196
831	27980.18309
832	27979.34512
833	27979.17146
834	27979.12006
835	27979.04634
836	27978.22403
837	27977.90204
838	27976.78102
839	27976.61725
840	27976.55127
841	27976.54193
842	27976.51372
843	27976.13892
844	27975.90543
845	27975.65143
846	27974.84794
847	27974.82985
848	27974.54837
849	27974.09
850	27974.03747
851	27973.86888
852	27973.81177
853	27973.25558
854	27973.01771
855	27973.00394
856	27971.95575
857	27971.84472
858	27971.26081
859	27971.22163
860	27971.21421
861	27971.05916
862	27971.03741
863	27970.99745
864	27970.76317
865	27970.61751
866	27970.60007
867	27970.05429
868	27969.9013
869	27969.28233
870	27968.66337
871	27968.59473
872	27968.13782
873	27968.12646
874	27967.63932
875	27967.52252
876	27967.48114
877	27967.36453
878	27966.98393
879	27966.92446
880	27966.88931
881	27966.82757
882	27966.76779
883	27966.63158
884	27965.68214
885	27965.61574
886	27965.27273
887	27964.53533
888	27964.52721
889	27964.02913
890	27963.93331
891	27963.88962
892	27963.71526
893	27963.65919
894	27963.59612
895	27962.81883
896	27962.20024
897	27962.19793
898	27961.42581
899	27961.38188
900	27961.32556
901	27960.8491
902	27960.22436
903	27959.98375
904	27959.63502
905	27959.6285
906	27959.61808
907	27959.4631
908	27959.44802
909	27959.24727
910	27959.21165
911	27959.12579
912	27958.94277
913	27958.42893
914	27957.93286
915	27957.37174
916	27957.33652
917	27957.23681
918	27956.8631
919	27956.67265
920	27956.59388
921	27956.53261
922	27956.52985
923	27956.38475
924	27956.21042
925	27956.16055
926	27955.91977
927	27955.85966
928	27955.84737
929	27955.7177
930	27955.68257
931	27955.29522
932	27955.28311
933	27954.89808
934	27954.63015
935	27954.62158
936	27954.05095
937	27953.76263
938	27953.68946
939	27953.23281
940	27953.21395
941	27953.21386
942	27953.07369
943	27953.04474
944	27952.94389
945	27952.83747
946	27952.82049
947	27951.90114
948	27951.88251
949	27951.76732
950	27951.74873
951	27951.71703
952	27951.68385
953	27951.51189
954	27951.50427
955	27951.47377
956	27951.31306
957	27951.25312
958	27950.81237
959	27950.79209
960	27950.77541
961	27950.7753
962	27950.46447
963	27950.19618
964	27949.81327
965	27949.79118
966	27949.61677
967	27949.49596
968	27949.46808
969	27949.2508
970	27948.60445
971	27948.544
972	27948.43001
973	27948.3836
974	27948.00714
975	27947.94946
976	27947.54096
977	27947.51764
978	27947.45418
979	27947.40231
980	27947.33921
981	27947.30431
982	27947.17559
983	27946.72559
984	27946.69691
985	27946.62599
986	27946.32552
987	27945.93824
988	27945.72322
989	27945.65205
990	27945.36408
991	27944.96742
992	27944.55141
993	27944.4356
994	27944.37948
995	27944.15201
996	27944.05931
997	27943.60372
998	27943.50949
999	27943.46877
